date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-07-01,23,17.4,29.4,0,,312,29.4,48.2,1017.7,
2023-07-02,25,19.6,31.1,0,,310,27.6,44.5,1016.9,
2023-07-03,22.4,19.3,26.8,1.4,,307,18.5,37,1017.1,
2023-07-04,25,19,31.8,0,,303,15.8,35.2,1015.5,
2023-07-05,24.6,19.5,30.4,0,,316,16.9,35.2,1016.8,
2023-07-06,23.4,19.8,28.2,32.4,,108,16,31.5,1014.1,
2023-07-07,23.6,19.1,30.2,0.4,,111,11,37,1013.7,
2023-07-08,26.9,19.1,35.5,0,,112,6.8,27.8,1014.6,
2023-07-09,29,21.7,36.9,0,,32,8.7,27.8,1016.9,
2023-07-10,28,21.2,36.3,0,,318,17.6,33.3,1018.8,
2023-07-11,31.6,25,40.1,0,,116,16.8,38.9,1012.1,
2023-07-12,25.4,19.9,31.9,0,,305,27.1,40.8,1015.1,
2023-07-13,26.3,20.9,32.8,0,,309,22.2,38.9,1017.6,
2023-07-14,29.2,21.5,37.5,0,,105,15,35.2,1012.7,
2023-07-15,28.5,22.6,36.5,0,,59,16.7,46.3,1009.9,
2023-07-16,24.7,18.7,33,0,,331,21.6,40.8,1015.4,
2023-07-17,26.3,20.4,35,0,,323,19.1,35.2,1016.9,
2023-07-18,31.9,23.9,41.7,0,,108,15.8,35.2,1014,
2023-07-19,26.9,22.3,33.8,0,,303,24.4,42.6,1016,
2023-07-20,25,19.8,32.7,0,,306,22.9,44.5,1013.1,
2023-07-21,24,19.4,29.9,0,,309,31.4,42.6,1013.7,
2023-07-22,24.2,17.8,32.2,0,,319,15.6,37,1016.3,
2023-07-23,28.6,21.8,36.9,0,,101,11.2,33.3,1011.8,
2023-07-24,26,20.9,32,0,,315,21.7,44.5,1009.8,
2023-07-25,22.1,18.7,26.8,0,,315,28.5,46.3,1015.5,
2023-07-26,23.4,17.8,30.4,0,,311,21.1,38.9,1017.6,
2023-07-27,24.7,19.5,33,3.9,,128,10.8,35.2,1013.5,
2023-07-28,24.9,17.2,34,0,,116,8.4,22.2,1013.3,
2023-07-29,28.6,22.3,36.8,0,,356,10.3,38.9,1011.9,
2023-07-30,26.3,21,33.1,0,,306,27,38.9,1016.9,
2023-07-31,26.6,19.4,36,0,,303,21,37,1016.2,
2023-08-01,26.9,21.4,32.3,0,,309,22.7,44.5,1014,
2023-08-02,28.7,21.2,36.7,0,,325,12.6,42.6,1009,
2023-08-03,22.9,19.3,26.6,0,,320,28.7,46.3,1014.4,
2023-08-04,20.7,17.4,24.9,0,,316,30.6,51.8,1020.3,
2023-08-05,22.5,16.5,30.7,0,,308,28.7,50,1019.7,
2023-08-06,22.3,18.1,27.4,0,,308,35.4,50,1019.2,
2023-08-07,22.2,15.7,31.1,0,,313,18.5,37,1019.2,
2023-08-08,25.9,17.7,34.5,0,,280,7.3,20.4,1016.2,
2023-08-09,29.6,21.4,38.6,0,,111,8.6,25.9,1015.2,
2023-08-10,30.5,25,36.8,0,,319,19,40.8,1016.3,
2023-08-11,29.2,21.1,38.6,0,,290,13.3,37,1019.1,
2023-08-12,29.3,22.9,36.8,0,,320,9.6,24.1,1017.1,
2023-08-13,28.2,22,36.7,0,,72,18.2,33.3,1014.5,
2023-08-14,29,23.7,37,0,,101,19.9,35.2,1012.3,
2023-08-15,27.7,21.7,36,0,,71,16.1,31.5,1014,
2023-08-16,28.1,22,35,0.5,,68,13.7,29.6,1013.8,
2023-08-17,28.2,21,37,0,,351,12.9,27.8,1013,
